owner,repo_name,commit_id,committer,date,tree_url,lines_code_added,lines_code_removed,code_size_bytes,code_size_kilobytes,repo_size_kb
pH-7,Simple-Java-Calculator,1e9ca6e3ad8f2f6562433f967d76c7725a7db281,web-flow,2020-02-03 03:57:38,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/9400910d09d68b857de9a8d99fbc50a08b8d6e9a,1,0,1,1,1
pH-7,Simple-Java-Calculator,408f271e86eacce580be93a0597305082cb74dd6,web-flow,2020-02-03 03:41:51,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/c3a8f6ea25b141c0462e7574537f4513b6880c42,0,0,0,1,1
pH-7,Simple-Java-Calculator,fe55e543c964b9eb0728cc6c1a04d0693019883f,web-flow,2020-02-03 03:41:24,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/de47c75599c78709ce62b691e793e4a03b535ddb,1,0,1,1,1
pH-7,Simple-Java-Calculator,4f70bfc69a84d0b83be90b3e29e352258526e5a3,web-flow,2020-02-03 03:40:49,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/4d563239d16b010196b4263c72ea644e14ba4bb3,299,212,511,1,1
pH-7,Simple-Java-Calculator,dca644b774f687dd115cba6b40c11eee55012bd9,web-flow,2020-02-01 13:04:06,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/a812490cbb3fa68fb56ab0eda1ffaae08b4aa7e9,1,1,2,1,1
pH-7,Simple-Java-Calculator,5d5fb6d1a63a7d31094f5396f671516cb78211cc,web-flow,2019-11-28 21:47:47,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/0e537e4b43644514c3d47d9923aebe19b46d0a8e,17,5,22,1,1
pH-7,Simple-Java-Calculator,fa7c9abc6a2cb2d7afe6e9e4075fcb60003a2917,web-flow,2019-10-29 23:06:54,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/0e537e4b43644514c3d47d9923aebe19b46d0a8e,33,4,37,1,1
pH-7,Simple-Java-Calculator,631a86046d4661ddfb71edbbebbdb7b1b03344e1,web-flow,2019-10-29 23:05:38,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/6455cf3d063e7b8017441e5a963761a8b8087a18,10,11,21,1,1
pH-7,Simple-Java-Calculator,6d24e05f2e952131796a853ad35e0bbaff1af23a,web-flow,2019-10-29 23:00:18,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/3fadcc9cb9d69852fc1b6958d34d315a9ad990e8,0,11,11,1,1
pH-7,Simple-Java-Calculator,0d36afccc118f30b5c6d1e8218ad17b0aaba3c00,web-flow,2019-10-29 22:59:59,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/16a4fe502050f19970c73d49efbc02f28b6618d2,0,220,220,1,1
pH-7,Simple-Java-Calculator,5cdda01db2f36a76622a3521cc33a77087d70d53,web-flow,2019-10-29 22:59:49,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/858b80ace721a98e48db22b815bc96ce8618c98f,0,6,6,1,1
